uf|ano|mes|chuva|dengue
PR|2019|10|2095.2|3442.0
PR|2019|11|3083.2|5523.0
PR|2019|12|4863.0|9576.0
ES|2019|1|186.0|4090.0
ES|2019|2|1543.2|5356.0
ES|2019|3|1321.0|10579.0
ES|2019|4|776.6|10332.0
ES|2019|5|1344.0|14617.0
ES|2019|6|524.2|17690.0
ES|2019|7|327.2|7567.0
ES|2019|8|662.6|3462.0
ES|2019|9|696.8|2525.0
ES|2019|10|738.6|1566.0
ES|2019|11|3629.0|1537.0
ES|2019|12|1719.0|1272.0
